:START_ID,:END_ID,:TYPE
115964116992,120259084288,PARAMETER_LINK
115964116993,120259084289,PARAMETER_LINK
115964116994,120259084290,PARAMETER_LINK
115964116995,120259084291,PARAMETER_LINK
115964116996,120259084292,PARAMETER_LINK
115964116997,120259084293,PARAMETER_LINK
115964116998,120259084294,PARAMETER_LINK
115964116999,120259084295,PARAMETER_LINK
115964117000,120259084296,PARAMETER_LINK
115964117001,120259084297,PARAMETER_LINK
115964117002,120259084298,PARAMETER_LINK
115964117003,120259084299,PARAMETER_LINK
115964117004,120259084300,PARAMETER_LINK
115964117005,120259084301,PARAMETER_LINK
115964117006,120259084302,PARAMETER_LINK
115964117007,120259084303,PARAMETER_LINK
115964117008,120259084304,PARAMETER_LINK
115964117009,120259084305,PARAMETER_LINK
115964117010,120259084306,PARAMETER_LINK
115964117011,120259084307,PARAMETER_LINK
115964117012,120259084308,PARAMETER_LINK
115964117013,120259084309,PARAMETER_LINK
115964117014,120259084310,PARAMETER_LINK
115964117015,120259084311,PARAMETER_LINK
115964117016,120259084312,PARAMETER_LINK
115964117017,120259084313,PARAMETER_LINK
115964117018,120259084314,PARAMETER_LINK
115964117019,120259084315,PARAMETER_LINK
115964117020,120259084316,PARAMETER_LINK
115964117021,120259084317,PARAMETER_LINK
115964117022,120259084318,PARAMETER_LINK
115964117023,120259084319,PARAMETER_LINK
115964117024,120259084320,PARAMETER_LINK
115964117025,120259084321,PARAMETER_LINK
115964117026,120259084322,PARAMETER_LINK
115964117027,120259084323,PARAMETER_LINK
115964117028,120259084324,PARAMETER_LINK
115964117029,120259084325,PARAMETER_LINK
115964117030,120259084326,PARAMETER_LINK
115964117031,120259084327,PARAMETER_LINK
115964117032,120259084328,PARAMETER_LINK
115964117033,120259084329,PARAMETER_LINK
115964117034,120259084330,PARAMETER_LINK
115964117035,120259084331,PARAMETER_LINK
115964117036,120259084332,PARAMETER_LINK
115964117037,120259084333,PARAMETER_LINK
115964117038,120259084334,PARAMETER_LINK
115964117039,120259084335,PARAMETER_LINK
115964117040,120259084336,PARAMETER_LINK
115964117041,120259084337,PARAMETER_LINK
115964117042,120259084338,PARAMETER_LINK
115964117043,120259084339,PARAMETER_LINK
115964117044,120259084340,PARAMETER_LINK
115964117045,120259084341,PARAMETER_LINK
