:START_ID,:END_ID,:TYPE
30064771072,30064771073,ARGUMENT
30064771072,30064771077,ARGUMENT
30064771072,30064771081,ARGUMENT
30064771073,30064771074,ARGUMENT
30064771073,30064771075,ARGUMENT
30064771074,68719476736,ARGUMENT
30064771074,55834574848,ARGUMENT
30064771075,30064771076,ARGUMENT
30064771075,55834574850,ARGUMENT
30064771076,68719476737,ARGUMENT
30064771076,55834574849,ARGUMENT
30064771077,68719476740,ARGUMENT
30064771078,30064771079,ARGUMENT
30064771078,55834574852,ARGUMENT
30064771079,68719476738,ARGUMENT
30064771079,30064771080,ARGUMENT
30064771080,68719476739,ARGUMENT
30064771080,55834574851,ARGUMENT
30064771081,68719476742,ARGUMENT
30064771082,68719476741,ARGUMENT
30064771082,55834574853,ARGUMENT
30064771083,68719476743,ARGUMENT
30064771083,25769803781,ARGUMENT
30064771084,68719476744,ARGUMENT
30064771084,30064771085,ARGUMENT
30064771085,30064771086,ARGUMENT
30064771085,68719476747,ARGUMENT
30064771086,68719476746,ARGUMENT
30064771087,68719476748,ARGUMENT
30064771087,90194313216,ARGUMENT
30064771088,30064771089,ARGUMENT
30064771088,68719476750,ARGUMENT
30064771089,68719476749,ARGUMENT
30064771089,55834574854,ARGUMENT
30064771090,30064771091,ARGUMENT
30064771090,68719476752,ARGUMENT
30064771091,68719476751,ARGUMENT
30064771091,55834574855,ARGUMENT
30064771092,68719476754,ARGUMENT
30064771092,30064771093,ARGUMENT
30064771093,68719476756,ARGUMENT
30064771094,68719476757,ARGUMENT
30064771094,30064771095,ARGUMENT
30064771095,68719476758,ARGUMENT
30064771095,68719476759,ARGUMENT
30064771096,68719476761,ARGUMENT
30064771096,68719476762,ARGUMENT
30064771097,68719476763,ARGUMENT
30064771097,30064771098,ARGUMENT
30064771098,68719476765,ARGUMENT
30064771098,68719476766,ARGUMENT
30064771099,68719476767,ARGUMENT
30064771099,90194313217,ARGUMENT
30064771100,68719476768,ARGUMENT
30064771100,90194313218,ARGUMENT
30064771101,68719476769,ARGUMENT
30064771101,30064771102,ARGUMENT
30064771102,68719476770,ARGUMENT
30064771102,55834574856,ARGUMENT
30064771103,68719476771,ARGUMENT
30064771104,68719476772,ARGUMENT
30064771104,30064771105,ARGUMENT
30064771105,68719476774,ARGUMENT
30064771105,30064771108,ARGUMENT
30064771106,30064771107,ARGUMENT
30064771106,55834574857,ARGUMENT
30064771107,68719476773,ARGUMENT
30064771107,90194313219,ARGUMENT
30064771108,68719476775,ARGUMENT
30064771108,90194313220,ARGUMENT
30064771109,68719476776,ARGUMENT
30064771109,30064771110,ARGUMENT
30064771110,68719476778,ARGUMENT
30064771110,30064771112,ARGUMENT
30064771111,68719476777,ARGUMENT
30064771111,55834574858,ARGUMENT
30064771112,68719476779,ARGUMENT
30064771112,30064771113,ARGUMENT
30064771113,68719476781,ARGUMENT
30064771113,68719476782,ARGUMENT
30064771114,68719476780,ARGUMENT
30064771114,55834574859,ARGUMENT
30064771115,30064771116,ARGUMENT
30064771115,68719476785,ARGUMENT
30064771116,68719476783,ARGUMENT
30064771116,68719476784,ARGUMENT
30064771117,68719476787,ARGUMENT
30064771117,68719476788,ARGUMENT
30064771118,30064771119,ARGUMENT
30064771118,30064771120,ARGUMENT
30064771118,30064771132,ARGUMENT
30064771119,68719476790,ARGUMENT
30064771119,68719476791,ARGUMENT
30064771120,68719476792,ARGUMENT
30064771120,68719476793,ARGUMENT
30064771120,25769803788,ARGUMENT
30064771121,30064771122,ARGUMENT
30064771121,68719476795,ARGUMENT
30064771122,68719476794,ARGUMENT
30064771122,55834574860,ARGUMENT
30064771123,30064771124,ARGUMENT
30064771123,30064771125,ARGUMENT
30064771124,68719476796,ARGUMENT
30064771124,55834574861,ARGUMENT
30064771125,90194313221,ARGUMENT
30064771126,30064771127,ARGUMENT
30064771126,30064771128,ARGUMENT
30064771127,68719476797,ARGUMENT
30064771127,55834574862,ARGUMENT
30064771128,90194313222,ARGUMENT
30064771129,30064771130,ARGUMENT
30064771129,30064771131,ARGUMENT
30064771130,68719476798,ARGUMENT
30064771130,55834574863,ARGUMENT
30064771131,90194313223,ARGUMENT
30064771132,30064771133,ARGUMENT
30064771132,68719476802,ARGUMENT
30064771133,68719476800,ARGUMENT
30064771133,68719476801,ARGUMENT
30064771134,68719476804,ARGUMENT
30064771135,30064771136,ARGUMENT
30064771135,90194313225,ARGUMENT
30064771135,30064771145,ARGUMENT
30064771136,30064771137,ARGUMENT
30064771136,30064771143,ARGUMENT
30064771137,30064771138,ARGUMENT
30064771137,30064771141,ARGUMENT
30064771138,68719476805,ARGUMENT
30064771138,30064771139,ARGUMENT
30064771139,90194313224,ARGUMENT
30064771139,30064771140,ARGUMENT
30064771140,68719476806,ARGUMENT
30064771141,30064771142,ARGUMENT
30064771141,68719476808,ARGUMENT
30064771142,68719476807,ARGUMENT
30064771142,55834574864,ARGUMENT
30064771143,68719476809,ARGUMENT
30064771143,30064771144,ARGUMENT
30064771144,68719476810,ARGUMENT
30064771144,55834574865,ARGUMENT
30064771145,68719476811,ARGUMENT
30064771146,68719476812,ARGUMENT
30064771146,30064771147,ARGUMENT
30064771147,30064771148,ARGUMENT
30064771147,124554051584,ARGUMENT
30064771147,124554051585,ARGUMENT
30064771148,30064771149,ARGUMENT
30064771148,30064771151,ARGUMENT
30064771149,90194313226,ARGUMENT
30064771149,30064771150,ARGUMENT
30064771150,68719476813,ARGUMENT
30064771151,90194313227,ARGUMENT
30064771151,30064771152,ARGUMENT
30064771152,30064771153,ARGUMENT
30064771153,68719476814,ARGUMENT
30064771153,55834574866,ARGUMENT
30064771154,68719476816,ARGUMENT
30064771154,68719476817,ARGUMENT
30064771155,30064771156,ARGUMENT
30064771155,30064771160,ARGUMENT
30064771156,30064771157,ARGUMENT
30064771156,30064771158,ARGUMENT
30064771157,90194313228,ARGUMENT
30064771157,68719476818,ARGUMENT
30064771158,68719476819,ARGUMENT
30064771158,30064771159,ARGUMENT
30064771159,68719476820,ARGUMENT
30064771159,55834574867,ARGUMENT
30064771160,68719476821,ARGUMENT
30064771160,30064771161,ARGUMENT
30064771161,68719476822,ARGUMENT
30064771161,55834574868,ARGUMENT
30064771162,68719476823,ARGUMENT
30064771162,90194313229,ARGUMENT
30064771163,68719476824,ARGUMENT
30064771163,25769803796,ARGUMENT
30064771164,68719476825,ARGUMENT
30064771164,30064771165,ARGUMENT
30064771166,68719476827,ARGUMENT
30064771166,68719476828,ARGUMENT
30064771167,68719476830,ARGUMENT
30064771167,68719476831,ARGUMENT
30064771168,68719476832,ARGUMENT
30064771169,30064771170,ARGUMENT
30064771169,30064771171,ARGUMENT
30064771170,68719476833,ARGUMENT
30064771170,68719476834,ARGUMENT
30064771171,68719476835,ARGUMENT
