:START_ID,:END_ID,:TYPE
30064771073,30064771077,CDG
30064771073,30064771078,CDG
30064771073,30064771079,CDG
30064771073,30064771080,CDG
30064771073,30064771081,CDG
30064771073,30064771082,CDG
30064771073,68719476738,CDG
30064771073,68719476739,CDG
30064771073,68719476740,CDG
30064771073,68719476741,CDG
30064771073,55834574851,CDG
30064771073,68719476742,CDG
30064771073,55834574852,CDG
30064771073,55834574853,CDG
30064771074,30064771076,CDG
30064771074,68719476737,CDG
30064771074,55834574849,CDG
30064771074,55834574850,CDG
30064771074,30064771075,CDG
30064771101,55834574858,CDG
30064771101,68719476781,CDG
30064771101,55834574859,CDG
30064771101,68719476782,CDG
30064771101,30064771108,CDG
30064771101,30064771109,CDG
30064771101,30064771110,CDG
30064771101,30064771111,CDG
30064771101,30064771112,CDG
30064771101,30064771113,CDG
30064771101,30064771114,CDG
30064771101,90194313219,CDG
30064771101,90194313220,CDG
30064771101,68719476769,CDG
30064771101,68719476770,CDG
30064771101,68719476771,CDG
30064771101,68719476772,CDG
30064771101,68719476773,CDG
30064771101,68719476774,CDG
30064771101,68719476775,CDG
30064771101,68719476776,CDG
30064771101,68719476777,CDG
30064771101,68719476778,CDG
30064771101,55834574856,CDG
30064771101,68719476779,CDG
30064771101,55834574857,CDG
30064771101,68719476780,CDG
30064771101,30064771101,CDG
30064771101,30064771102,CDG
30064771101,30064771103,CDG
30064771101,30064771104,CDG
30064771101,30064771105,CDG
30064771101,30064771106,CDG
30064771101,30064771107,CDG
30064771119,25769803788,CDG
30064771119,30064771120,CDG
30064771119,30064771121,CDG
30064771119,30064771122,CDG
30064771119,30064771123,CDG
30064771119,30064771124,CDG
30064771119,30064771125,CDG
30064771119,30064771126,CDG
30064771119,30064771127,CDG
30064771119,90194313221,CDG
30064771119,30064771128,CDG
30064771119,90194313222,CDG
30064771119,30064771129,CDG
30064771119,90194313223,CDG
30064771119,30064771130,CDG
30064771119,30064771131,CDG
30064771119,30064771132,CDG
30064771119,30064771133,CDG
30064771119,55834574860,CDG
30064771119,55834574861,CDG
30064771119,55834574862,CDG
30064771119,55834574863,CDG
30064771119,68719476792,CDG
30064771119,68719476793,CDG
30064771119,68719476794,CDG
30064771119,68719476795,CDG
30064771119,68719476796,CDG
30064771119,68719476797,CDG
30064771119,68719476798,CDG
30064771119,68719476799,CDG
30064771119,68719476800,CDG
30064771119,68719476801,CDG
30064771119,68719476802,CDG
30064771136,30064771145,CDG
30064771136,90194313225,CDG
30064771136,68719476811,CDG
30064771137,30064771143,CDG
30064771137,30064771144,CDG
30064771137,55834574865,CDG
30064771137,68719476809,CDG
30064771137,68719476810,CDG
30064771138,30064771141,CDG
30064771138,30064771142,CDG
30064771138,55834574864,CDG
30064771138,68719476807,CDG
30064771138,68719476808,CDG
30064771148,124554051584,CDG
30064771148,124554051585,CDG
30064771149,68719476814,CDG
30064771149,55834574866,CDG
30064771149,90194313227,CDG
30064771149,30064771151,CDG
30064771149,30064771152,CDG
30064771149,30064771153,CDG
30064771156,68719476821,CDG
30064771156,68719476822,CDG
30064771156,55834574868,CDG
30064771156,30064771160,CDG
30064771156,30064771161,CDG
30064771157,68719476819,CDG
30064771157,68719476820,CDG
30064771157,55834574867,CDG
30064771157,30064771158,CDG
30064771157,30064771159,CDG
30064771167,68719476830,CDG
30064771167,68719476831,CDG
30064771167,68719476832,CDG
30064771167,68719476833,CDG
30064771167,68719476834,CDG
30064771167,68719476835,CDG
30064771167,68719476836,CDG
30064771167,30064771167,CDG
30064771167,30064771168,CDG
30064771167,30064771169,CDG
30064771167,30064771170,CDG
30064771167,30064771171,CDG
30064771172,30064771174,CDG
30064771172,30064771175,CDG
30064771172,30064771176,CDG
30064771172,30064771177,CDG
30064771172,30064771178,CDG
30064771172,30064771179,CDG
30064771172,30064771180,CDG
30064771172,30064771181,CDG
30064771172,30064771182,CDG
30064771172,30064771183,CDG
30064771172,30064771184,CDG
30064771172,30064771185,CDG
30064771172,30064771186,CDG
30064771172,30064771187,CDG
30064771172,30064771192,CDG
30064771172,25769803800,CDG
30064771172,30064771193,CDG
30064771172,30064771194,CDG
30064771172,68719476840,CDG
30064771172,68719476841,CDG
30064771172,68719476842,CDG
30064771172,68719476843,CDG
30064771172,68719476844,CDG
30064771172,90194313234,CDG
30064771172,146028888072,CDG
30064771172,146028888073,CDG
30064771172,55834574869,CDG
30064771172,55834574870,CDG
30064771172,55834574871,CDG
30064771172,55834574872,CDG
30064771172,90194313231,CDG
30064771172,90194313232,CDG
30064771172,90194313233,CDG
30064771172,68719476845,CDG
30064771172,68719476846,CDG
30064771172,68719476847,CDG
30064771172,68719476848,CDG
30064771172,68719476849,CDG
30064771172,68719476850,CDG
30064771172,68719476851,CDG
30064771172,68719476855,CDG
30064771186,30064771189,CDG
30064771186,30064771190,CDG
30064771186,30064771191,CDG
30064771186,55834574874,CDG
30064771186,55834574875,CDG
30064771186,68719476853,CDG
30064771186,68719476854,CDG
30064771187,30064771188,CDG
30064771187,55834574873,CDG
30064771187,68719476852,CDG
30064771193,30064771196,CDG
30064771193,30064771197,CDG
30064771193,30064771198,CDG
30064771193,30064771199,CDG
30064771193,30064771200,CDG
30064771193,90194313236,CDG
30064771193,55834574876,CDG
30064771193,68719476857,CDG
30064771193,68719476858,CDG
30064771193,68719476859,CDG
30064771193,68719476860,CDG
30064771194,30064771195,CDG
30064771194,90194313235,CDG
30064771194,68719476856,CDG
30064771199,90194313238,CDG
30064771199,30064771204,CDG
30064771199,30064771205,CDG
30064771199,68719476864,CDG
30064771199,68719476865,CDG
30064771199,68719476866,CDG
30064771199,68719476867,CDG
30064771200,30064771201,CDG
30064771200,30064771202,CDG
30064771200,30064771203,CDG
30064771200,90194313237,CDG
30064771200,55834574877,CDG
30064771200,68719476861,CDG
30064771200,68719476862,CDG
30064771200,68719476863,CDG
30064771206,30064771208,CDG
30064771206,68719476871,CDG
30064771206,68719476872,CDG
30064771206,146028888074,CDG
30064771206,68719476873,CDG
30064771209,68719476878,CDG
30064771209,68719476879,CDG
30064771209,68719476880,CDG
30064771209,146028888075,CDG
30064771209,30064771218,CDG
30064771209,30064771219,CDG
30064771209,55834574880,CDG
30064771210,68719476877,CDG
30064771210,90194313241,CDG
30064771210,90194313242,CDG
30064771210,30064771216,CDG
30064771210,30064771217,CDG
30064771211,90194313240,CDG
30064771211,30064771213,CDG
30064771211,30064771214,CDG
30064771211,30064771215,CDG
30064771211,55834574879,CDG
30064771211,68719476875,CDG
30064771211,68719476876,CDG
30064771225,30064771230,CDG
30064771225,124554051588,CDG
30064771225,68719476892,CDG
30064771226,30064771229,CDG
30064771226,68719476889,CDG
30064771226,68719476890,CDG
30064771226,68719476891,CDG
30064771227,30064771228,CDG
30064771227,124554051587,CDG
30064771227,68719476887,CDG
30064771227,68719476888,CDG
30064771236,55834574897,CDG
30064771236,30064771326,CDG
30064771236,30064771327,CDG
30064771236,90194313281,CDG
30064771236,68719476961,CDG
30064771236,68719476962,CDG
30064771236,68719476909,CDG
30064771236,68719476917,CDG
30064771236,68719476918,CDG
30064771236,90194313248,CDG
30064771236,90194313249,CDG
30064771236,90194313250,CDG
30064771236,30064771250,CDG
30064771236,30064771251,CDG
30064771236,30064771252,CDG
30064771236,30064771264,CDG
30064771237,55834574883,CDG
30064771237,68719476900,CDG
30064771237,68719476901,CDG
30064771237,68719476902,CDG
30064771237,90194313245,CDG
30064771237,30064771239,CDG
30064771237,30064771240,CDG
30064771237,30064771241,CDG
30064771237,30064771242,CDG
30064771240,55834574884,CDG
30064771240,68719476903,CDG
30064771240,68719476904,CDG
