:START_ID,:END_ID,:TYPE
30064771072,111669150695,CALL
30064771073,111669150696,CALL
30064771074,111669150697,CALL
30064771075,111669150697,CALL
30064771076,111669150697,CALL
30064771077,111669150757,CALL
30064771078,111669150697,CALL
30064771079,111669150698,CALL
30064771080,111669150697,CALL
30064771081,111669150758,CALL
30064771082,111669150697,CALL
30064771083,111669150696,CALL
30064771084,111669150699,CALL
30064771085,111669150700,CALL
30064771086,111669150560,CALL
30064771086,111669149696,CALL
30064771086,111669149828,CALL
30064771086,111669150501,CALL
30064771087,111669150699,CALL
30064771088,111669150698,CALL
30064771089,111669150697,CALL
30064771090,111669150698,CALL
30064771091,111669150697,CALL
30064771092,111669150698,CALL
30064771093,111669150560,CALL
30064771093,111669149696,CALL
30064771093,111669149828,CALL
30064771093,111669150501,CALL
30064771094,111669150698,CALL
30064771095,111669150701,CALL
30064771096,111669150698,CALL
30064771097,111669150698,CALL
30064771098,111669150525,CALL
30064771098,111669150475,CALL
30064771098,111669150654,CALL
30064771099,111669150698,CALL
30064771100,111669150698,CALL
30064771101,111669150702,CALL
30064771102,111669150697,CALL
30064771103,111669150703,CALL
30064771104,111669150698,CALL
30064771105,111669150759,CALL
30064771106,111669150697,CALL
30064771107,111669150698,CALL
30064771108,111669150704,CALL
30064771109,111669150699,CALL
30064771110,111669150760,CALL
30064771111,111669150697,CALL
30064771112,111669150705,CALL
30064771113,111669150761,CALL
30064771113,111669150762,CALL
30064771113,111669150763,CALL
30064771113,111669150764,CALL
30064771113,111669150765,CALL
30064771113,111669150766,CALL
30064771113,111669150767,CALL
30064771113,111669150768,CALL
30064771113,111669150759,CALL
30064771113,111669150769,CALL
30064771113,111669150770,CALL
30064771113,111669150771,CALL
30064771113,111669150772,CALL
30064771113,111669150773,CALL
30064771113,111669150774,CALL
30064771113,111669150775,CALL
30064771114,111669150697,CALL
30064771115,111669150698,CALL
30064771116,111669150701,CALL
30064771117,111669150004,CALL
30064771117,111669149698,CALL
30064771117,111669150317,CALL
30064771117,111669150403,CALL
30064771118,111669150695,CALL
30064771119,111669150706,CALL
30064771120,111669150707,CALL
30064771121,111669150698,CALL
30064771122,111669150697,CALL
30064771123,111669150698,CALL
30064771124,111669150697,CALL
30064771125,111669150708,CALL
30064771126,111669150698,CALL
30064771127,111669150697,CALL
30064771128,111669150708,CALL
30064771129,111669150698,CALL
30064771130,111669150697,CALL
30064771131,111669150708,CALL
30064771132,111669150698,CALL
30064771133,111669150701,CALL
30064771134,111669150709,CALL
30064771135,111669150695,CALL
30064771136,111669150696,CALL
30064771137,111669150696,CALL
30064771138,111669150696,CALL
